company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
"Pomeroy Technologies, LLC.",Data Scientist,Yes,Remote,,Medium,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,0,2.8,0,0,0,0,0,0,data scientist,mid,140,40
Delta,"Associate Data Scientist, Operations Decision Science",No,Atlanta, GA,Large,Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD),0,4.3,1,0,0,0,0,1,data scientist,junior,249,94
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,No,Vienna, NY,Unknown,Public,,,,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data analyst,junior,364,
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior",No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,1,1,data scientist,junior,572,108
Cloud to Street,Climate Data Scientist,No,Brooklyn, NY,Small,Private,,,,Unknown / Non-Applicable,0,5,0,0,0,0,0,1,data scientist,Senior,336,
Starz,Data Scientist,No,New York, NY,Small,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD),0,2.9,1,0,0,1,0,1,data scientist,Senior,616,28
Salesforce,"Staff Data Scientist, Customer Experience",Yes,Remote,,Large,Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD),0,4.4,1,1,0,0,0,1,data scientist,mid,548,23
Amgen,Sr. Associate Data Scientist (Remote),No,Thousand Oaks, CA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),0,4.1,1,0,0,0,1,1,data scientist,Senior,696,42
"STEPS TALENT, LLC",Data Scientist - 3 positions - 100% remote,Yes,Remote,,,,,,,,1,,1,0,1,0,0,1,data scientist,mid,190,
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,0,data scientist,junior,70,
Boston Scientific Corporation,Senior Data Scientist,No,Marlborough, MA,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,1,1,1,data scientist,Senior,687,43
Mican Technologies,Data Scientist(W2),Yes,Remote,,,,,,,,1,,1,0,0,0,0,1,data scientist,mid,190,
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",No,Seattle, WA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.7,1,0,0,0,1,1,data scientist,Senior,613,6
Amazon.com Services LLC,NLP Data Scientist,No,Pittsburgh, PA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,0,1,1,data scientist,mid,406,28
IBM,2023 Senior Data Scientist - IBM Consulting,No,New York, NY,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,655,111
Loon,"Data Scientist, Plant Biology",No,Mountain View, CA,Unknown,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,1,0,1,data scientist,mid,529,
AIVantage INC,Data Scientist,Yes,Remote,,,,,,,,0,,1,0,0,0,0,1,data scientist,Senior,282,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
"Pomeroy Technologies, LLC.",Data Scientist,Yes,Remote,,Medium,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,0,2.8,0,0,0,0,0,0,data scientist,mid,140,40
Delta,"Associate Data Scientist, Operations Decision Science",No,Atlanta, GA,Large,Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD),0,4.3,1,0,0,0,0,1,data scientist,junior,249,94
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,No,Vienna, NY,Unknown,Public,,,,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data analyst,junior,364,
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior",No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,1,1,data scientist,junior,572,108
Cloud to Street,Climate Data Scientist,No,Brooklyn, NY,Small,Private,,,,Unknown / Non-Applicable,0,5,0,0,0,0,0,1,data scientist,Senior,336,
Starz,Data Scientist,No,New York, NY,Small,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD),0,2.9,1,0,0,1,0,1,data scientist,Senior,616,28
Salesforce,"Staff Data Scientist, Customer Experience",Yes,Remote,,Large,Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD),0,4.4,1,1,0,0,0,1,data scientist,mid,545,23
Amgen,Sr. Associate Data Scientist (Remote),No,Thousand Oaks, CA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),0,4.1,1,0,0,0,1,1,data scientist,Senior,694,42
"STEPS TALENT, LLC",Data Scientist - 3 positions - 100% remote,Yes,Remote,,,,,,,,1,,1,0,1,0,0,1,data scientist,mid,190,
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,0,data scientist,junior,70,
Boston Scientific Corporation,Senior Data Scientist,No,Marlborough, MA,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,1,1,1,data scientist,Senior,687,43
Mican Technologies,Data Scientist(W2),Yes,Remote,,,,,,,,1,,1,0,0,0,0,1,data scientist,mid,190,
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",No,Seattle, WA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.7,1,0,0,0,1,1,data scientist,Senior,611,6
Amazon.com Services LLC,NLP Data Scientist,No,Pittsburgh, PA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,0,1,1,data scientist,mid,406,28
IBM,2023 Senior Data Scientist - IBM Consulting,No,New York, NY,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,655,111
Loon,"Data Scientist, Plant Biology",No,Mountain View, CA,Unknown,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,1,0,1,data scientist,mid,529,
AIVantage INC,Data Scientist,Yes,Remote,,,,,,,,0,,1,0,0,0,0,1,data scientist,Senior,282,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
"Pomeroy Technologies, LLC.",Data Scientist,Yes,Remote,,Medium,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,0,2.8,0,0,0,0,0,0,data scientist,mid,140,40
Delta,"Associate Data Scientist, Operations Decision Science",No,Atlanta, GA,Large,Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD),0,4.3,1,0,0,0,0,1,data scientist,junior,249,94
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,No,Vienna, NY,Unknown,Public,,,,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data analyst,junior,364,
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior",No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,1,1,data scientist,junior,572,108
Cloud to Street,Climate Data Scientist,No,Brooklyn, NY,Small,Private,,,,Unknown / Non-Applicable,0,5,0,0,0,0,0,1,data scientist,Senior,336,
Starz,Data Scientist,No,New York, NY,Small,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD),0,2.9,1,0,0,1,0,1,data scientist,Senior,616,28
Salesforce,"Staff Data Scientist, Customer Experience",Yes,Remote,,Large,Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD),0,4.4,1,1,0,0,0,1,data scientist,mid,547,23
Amgen,Sr. Associate Data Scientist (Remote),No,Thousand Oaks, CA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),0,4.1,1,0,0,0,1,1,data scientist,Senior,694,42
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,0,data scientist,junior,70,
Boston Scientific Corporation,Senior Data Scientist,No,Marlborough, MA,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,1,1,1,data scientist,Senior,687,43
Mican Technologies,Data Scientist(W2),Yes,Remote,,,,,,,,1,,1,0,0,0,0,1,data scientist,mid,190,
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",No,Seattle, WA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.7,1,0,0,0,1,1,data scientist,Senior,613,6
Amazon.com Services LLC,NLP Data Scientist,No,Pittsburgh, PA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,0,1,1,data scientist,mid,404,28
IBM,2023 Senior Data Scientist - IBM Consulting,No,New York, NY,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,657,111
Loon,"Data Scientist, Plant Biology",No,Mountain View, CA,Unknown,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,1,0,1,data scientist,mid,529,
AIVantage INC,Data Scientist,Yes,Remote,,,,,,,,0,,1,0,0,0,0,1,data scientist,Senior,282,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
"Pomeroy Technologies, LLC.",Data Scientist,Yes,Remote,,Medium,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,0,2.8,0,0,0,0,0,0,data scientist,mid,140,40
Delta,"Associate Data Scientist, Operations Decision Science",No,Atlanta, GA,Large,Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD),0,4.3,1,0,0,0,0,1,data scientist,junior,249,94
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,No,Vienna, NY,Unknown,Public,,,,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data analyst,junior,364,
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior",No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,1,1,data scientist,junior,572,108
Cloud to Street,Climate Data Scientist,No,Brooklyn, NY,Small,Private,,,,Unknown / Non-Applicable,0,5,0,0,0,0,0,1,data scientist,Senior,336,
Starz,Data Scientist,No,New York, NY,Small,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD),0,2.9,1,0,0,1,0,1,data scientist,Senior,616,28
Salesforce,"Staff Data Scientist, Customer Experience",Yes,Remote,,Large,Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD),0,4.4,1,1,0,0,0,1,data scientist,mid,545,23
Amgen,Sr. Associate Data Scientist (Remote),No,Thousand Oaks, CA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),0,4.1,1,0,0,0,1,1,data scientist,Senior,694,42
"STEPS TALENT, LLC",Data Scientist - 3 positions - 100% remote,Yes,Remote,,,,,,,,1,,1,0,1,0,0,1,data scientist,mid,190,
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,0,data scientist,junior,70,
Boston Scientific Corporation,Senior Data Scientist,No,Marlborough, MA,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,1,1,1,data scientist,Senior,685,43
Mican Technologies,Data Scientist(W2),Yes,Remote,,,,,,,,1,,1,0,0,0,0,1,data scientist,mid,190,
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",No,Seattle, WA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.7,1,0,0,0,1,1,data scientist,Senior,613,6
Amazon.com Services LLC,NLP Data Scientist,No,Pittsburgh, PA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,0,1,1,data scientist,mid,406,28
IBM,2023 Senior Data Scientist - IBM Consulting,No,New York, NY,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,657,111
Loon,"Data Scientist, Plant Biology",No,Mountain View, CA,Unknown,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,1,0,1,data scientist,mid,529,
AIVantage INC,Data Scientist,Yes,Remote,,,,,,,,0,,1,0,0,0,0,1,data scientist,Senior,282,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
"Pomeroy Technologies, LLC.",Data Scientist,Yes,Remote,,Medium,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable,0,2.8,0,0,0,0,0,0,data scientist,mid,140,40
Delta,"Associate Data Scientist, Operations Decision Science",No,Atlanta, GA,Large,Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD),0,4.3,1,0,0,0,0,1,data scientist,junior,249,94
TrueChoice Solutions,(Jr) Quantitative Analyst / Data Scientist,No,Vienna, NY,Unknown,Public,,,,Unknown / Non-Applicable,0,4,1,0,0,0,1,1,data analyst,junior,364,
Booz Allen Hamilton,"Tech Excellence Data Scientist, Junior",No,Alexandria, VA,Large,Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),0,4.2,1,0,0,0,1,1,data scientist,junior,570,108
Cloud to Street,Climate Data Scientist,No,Brooklyn, NY,Small,Private,,,,Unknown / Non-Applicable,0,5,0,0,0,0,0,1,data scientist,Senior,336,
Starz,Data Scientist,No,New York, NY,Small,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD),0,2.9,1,0,0,1,0,1,data scientist,Senior,616,28
Salesforce,"Staff Data Scientist, Customer Experience",Yes,Remote,,Large,Public,Information Technology,Enterprise Software & Network Solutions,1999,$10+ billion (USD),0,4.4,1,1,0,0,0,1,data scientist,mid,545,23
Amgen,Sr. Associate Data Scientist (Remote),No,Thousand Oaks, CA,Large,Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD),0,4.1,1,0,0,0,1,1,data scientist,Senior,696,42
"STEPS TALENT, LLC",Data Scientist - 3 positions - 100% remote,Yes,Remote,,,,,,,,1,,1,0,1,0,0,1,data scientist,mid,190,
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,No,Marysville, MI,Small,Private,Financial Services,Accounting & Tax,,Less than $1 million (USD),0,4.2,1,0,0,0,0,0,data scientist,junior,70,
Boston Scientific Corporation,Senior Data Scientist,No,Marlborough, MA,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,1,1,1,data scientist,Senior,687,43
Mican Technologies,Data Scientist(W2),Yes,Remote,,,,,,,,1,,1,0,0,0,0,1,data scientist,mid,190,
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",No,Seattle, WA,Medium,Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,0,3.7,1,0,0,0,1,1,data scientist,Senior,611,6
Amazon.com Services LLC,NLP Data Scientist,No,Pittsburgh, PA,Large,Public,Information Technology,Internet & Web Services,1994,$10+ billion (USD),0,3.8,1,0,0,0,1,1,data scientist,mid,406,28
IBM,2023 Senior Data Scientist - IBM Consulting,No,New York, NY,Large,Public,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),0,4.1,1,0,1,1,0,1,data scientist,Senior,657,111
Loon,"Data Scientist, Plant Biology",No,Mountain View, CA,Unknown,Private,,,,Unknown / Non-Applicable,0,4.7,1,0,0,1,0,1,data scientist,mid,529,
AIVantage INC,Data Scientist,Yes,Remote,,,,,,,,0,,1,0,0,0,0,1,data scientist,Senior,282,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
